track_id,title,artist,album,duration_sec,download_url,filename,genre
168,J'm'e FPM,TriFace,Premiers Jets,183.0,https://prod-1.storage.jamendo.com/download/track/168/mp32/,168.mp3,rock
169,Trio HxC,TriFace,Premiers Jets,101.0,https://prod-1.storage.jamendo.com/download/track/169/mp32/,169.mp3,metal
170,Un Poil De Relifion,TriFace,Premiers Jets,207.0,https://prod-1.storage.jamendo.com/download/track/170/mp32/,170.mp3,metal
171,Apologies,TriFace,Premiers Jets,145.0,https://prod-1.storage.jamendo.com/download/track/171/mp32/,171.mp3,rock
172,Je Vomis Comme Je Chante,TriFace,Premiers Jets,177.0,https://prod-1.storage.jamendo.com/download/track/172/mp32/,172.mp3,rock
174,Mind Asylum,Skaut,Mind Asylum,183.0,https://prod-1.storage.jamendo.com/download/track/174/mp32/,174.mp3,rock
214,Intro chiante,David TMX,Pouce !,124.0,https://prod-1.storage.jamendo.com/download/track/214/mp32/,214.mp3,punk
215,Aide toi...,David TMX,Pouce !,151.0,https://prod-1.storage.jamendo.com/download/track/215/mp32/,215.mp3,metal
216,Une charogne,David TMX,Pouce !,234.0,https://prod-1.storage.jamendo.com/download/track/216/mp32/,216.mp3,metal
217,Aimons nous...,David TMX,Pouce !,127.0,https://prod-1.storage.jamendo.com/download/track/217/mp32/,217.mp3,metal
218,Jouvencelle,David TMX,Pouce !,180.0,https://prod-1.storage.jamendo.com/download/track/218/mp32/,218.mp3,punk
219,L'homme pouce,David TMX,Pouce !,199.0,https://prod-1.storage.jamendo.com/download/track/219/mp32/,219.mp3,metal
220,Y'a un truc,David TMX,Pouce !,174.0,https://prod-1.storage.jamendo.com/download/track/220/mp32/,220.mp3,punk
221,LVO Hardcore,David TMX,Pouce !,224.0,https://prod-1.storage.jamendo.com/download/track/221/mp32/,221.mp3,punk
222,Que du naturel,David TMX,Pouce !,161.0,https://prod-1.storage.jamendo.com/download/track/222/mp32/,222.mp3,punk
223,Voici le gala,David TMX,Pouce !,217.0,https://prod-1.storage.jamendo.com/download/track/223/mp32/,223.mp3,metal
224,Croquemitaine,David TMX,Pouce !,109.0,https://prod-1.storage.jamendo.com/download/track/224/mp32/,224.mp3,rock
225,Histoire de grouin,David TMX,Pouce !,205.0,https://prod-1.storage.jamendo.com/download/track/225/mp32/,225.mp3,punk
226,JLP vs momomatic,David TMX,Pouce !,222.0,https://prod-1.storage.jamendo.com/download/track/226/mp32/,226.mp3,metal
227,Légionnaire zoophile,David TMX,Pouce !,245.0,https://prod-1.storage.jamendo.com/download/track/227/mp32/,227.mp3,metal
228,La frontière,David TMX,Pouce !,190.0,https://prod-1.storage.jamendo.com/download/track/228/mp32/,228.mp3,rock
229,Headbanger,David TMX,Pouce !,180.0,https://prod-1.storage.jamendo.com/download/track/229/mp32/,229.mp3,metal
230,Noxious,David TMX,Pouce !,124.0,https://prod-1.storage.jamendo.com/download/track/230/mp32/,230.mp3,metal
231,Ralalalatouf,David TMX,Pouce !,276.0,https://prod-1.storage.jamendo.com/download/track/231/mp32/,231.mp3,metal
234,Mérinos - Suite andropause Part 1,Various Artists,CD KDO-PYLEFT,379.0,https://prod-1.storage.jamendo.com/download/track/234/mp32/,234.mp3,folk
241,Simple Exercice,Both,Simple Exercice,340.0,https://prod-1.storage.jamendo.com/download/track/241/mp32/,241.mp3,rock
242,Réveille le Hippie,Both,Simple Exercice,248.0,https://prod-1.storage.jamendo.com/download/track/242/mp32/,242.mp3,rock
243,The Monster,Both,Simple Exercice,249.0,https://prod-1.storage.jamendo.com/download/track/243/mp32/,243.mp3,rock
244,Qui Déchante,Both,Simple Exercice,270.0,https://prod-1.storage.jamendo.com/download/track/244/mp32/,244.mp3,rock
245,J.E.T. Apostrophe A.I.M.E,Both,Simple Exercice,155.0,https://prod-1.storage.jamendo.com/download/track/245/mp32/,245.mp3,rock
246,Take Up Arms,Both,Simple Exercice,239.0,https://prod-1.storage.jamendo.com/download/track/246/mp32/,246.mp3,rock
247,Je le veux aussi,Both,Simple Exercice,85.0,https://prod-1.storage.jamendo.com/download/track/247/mp32/,247.mp3,pop
285,Zé Glisse,Alchimie,Adversité,226.0,https://prod-1.storage.jamendo.com/download/track/285/mp32/,285.mp3,pop
286,Terroriste terrorisé,Alchimie,Adversité,305.0,https://prod-1.storage.jamendo.com/download/track/286/mp32/,286.mp3,pop
287,Portées Disparues (Femmes sans visage),Alchimie,Adversité,197.0,https://prod-1.storage.jamendo.com/download/track/287/mp32/,287.mp3,pop
381,Go down Moses (Negro Spiritual),Les Petits Chanteurs de Montigny,Compilation classique,182.0,https://prod-1.storage.jamendo.com/download/track/381/mp32/,381.mp3,classical
382,Soon and Very Soon (Negro Spiritual),Les Petits Chanteurs de Montigny,Compilation classique,211.0,https://prod-1.storage.jamendo.com/download/track/382/mp32/,382.mp3,choral
383,Go tell it on the mountain (Negro Spiritual),Les Petits Chanteurs de Montigny,Compilation classique,113.0,https://prod-1.storage.jamendo.com/download/track/383/mp32/,383.mp3,choral
384,Let us break bread (Negro Spiritual),Les Petits Chanteurs de Montigny,Compilation classique,115.0,https://prod-1.storage.jamendo.com/download/track/384/mp32/,384.mp3,classical
385,Ave Maria (Sylvain Zimmer),Les Petits Chanteurs de Montigny,Compilation classique,177.0,https://prod-1.storage.jamendo.com/download/track/385/mp32/,385.mp3,classical
386,Cantate Domino (Johann Crüger),Les Petits Chanteurs de Montigny,Compilation classique,103.0,https://prod-1.storage.jamendo.com/download/track/386/mp32/,386.mp3,classical
387,Cantique de Jean Racine (Gabriel Fauré),Les Petits Chanteurs de Montigny,Compilation classique,257.0,https://prod-1.storage.jamendo.com/download/track/387/mp32/,387.mp3,gospel
389,Nocturnes (W.A. Mozart),Les Petits Chanteurs de Montigny,Compilation classique,150.0,https://prod-1.storage.jamendo.com/download/track/389/mp32/,389.mp3,choral
390,Psaume 61 (Joseph Haydn),Les Petits Chanteurs de Montigny,Compilation classique,133.0,https://prod-1.storage.jamendo.com/download/track/390/mp32/,390.mp3,classical
